id,cardNumber,name,cardType,rarity,seriesName,color1,colorRestriction,cost,trait,bp,rp,blockIcon,effect,flavorText,illustrator,image_thumbnail,image_normal,image_hologram_front,createdAt,updatedAt
55aef866-49c4-4275-8169-70908810fe23,BT2-1,アクアノーヴァの野良猫,ユニット,C,魂魄の冥導士,青,青1,3,アクアノーヴァ/アニマル,5000,0,1,,自由になった元飼い猫は猫社会の頂点を目指して奔走する。,コメスケ / SHU-,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_C_BT2-001_card_dummy.jpg,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_C_BT2-001_card_dummy.jpg,,2025-08-18T00:28:52.795Z,2025-08-18T00:43:23.386Z
f49ab8f0-5ae4-45b1-a734-c65e80d1af07,BT2-1,アクアノーヴァの野良猫,ユニット,P-C,魂魄の冥導士,青,青1,3,アクアノーヴァ/アニマル,5000,0,1,,自由になった元飼い猫は猫社会の頂点を目指して奔走する。,コメスケ / SHU-,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_P-C_BT2-001_card_dummy.jpg,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_P-C_BT2-001_card_dummy.jpg,,2025-08-18T00:28:52.795Z,2025-08-18T00:43:23.386Z
cac6bbe1-8ab0-452b-8fa6-7142731f7fb7,BT2-2,ピンク,ユニット,P-R,魂魄の冥導士,青,青2,3,リーリー/CNP,2000,0,1,【自分のターン】このユニットをBP+4000。,ショッキングピンクに変化したリーリーは、ひときわ目を引く華やかさ。,コメスケ / すとぽぷ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_P-R_BT2-002_card_dummy.jpg,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_P-R_BT2-002_card_dummy.jpg,,2025-08-18T00:28:52.795Z,2025-08-18T00:43:23.386Z
f75e74c3-8d48-4b46-b563-f8b698a79d78,BT2-2,ピンク,ユニット,R,魂魄の冥導士,青,青2,3,リーリー/CNP,2000,0,1,【自分のターン】このユニットをBP+4000。,ショッキングピンクに変化したリーリーは、ひときわ目を引く華やかさ。,コメスケ / すとぽぷ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_R_BT2-002_card_dummy.jpg,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_R_BT2-002_card_dummy.jpg,,2025-08-18T00:28:52.795Z,2025-08-18T00:43:23.386Z
486f84bb-c031-4a6a-8416-03090bb45819,BT2-3,レイキ結合体:瓦礫,ユニット,R,魂魄の冥導士,青,青2,3,レイキ結合体,4000,0,1,【登場時】自分のレイキ1枚をレイキデッキの下に戻す。その後、コスト4以下の相手のユニット1体を退場させる。,禍々しき命は万物を取り込む。戦火の残滓さえも。,コメスケ / すとぽぷ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_R_BT2-003_card_dummy.jpg,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_R_BT2-003_card_dummy.jpg,,2025-08-18T00:28:52.795Z,2025-08-18T00:43:23.386Z
9b2859e4-3a06-4f4e-b910-973951be4e00,BT2-3,レイキ結合体:瓦礫,ユニット,P-R,魂魄の冥導士,青,青2,3,レイキ結合体,4000,0,1,【登場時】自分のレイキ1枚をレイキデッキの下に戻す。その後、コスト4以下の相手のユニット1体を退場させる。,禍々しき命は万物を取り込む。戦火の残滓さえも。,コメスケ / すとぽぷ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_P-R_BT2-003_card_dummy.jpg,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_P-R_BT2-003_card_dummy.jpg,,2025-08-18T00:28:52.795Z,2025-08-18T00:43:23.386Z
9d376220-aacf-4633-832c-32486cc72f21,BT2-4,ブルー,ユニット,P-RR,魂魄の冥導士,青,青2,4,ルナ/CNP,5000,0,1,【登場時】ターン終了まで、相手のユニット1体をコスト-1。,青い姿に変化したルナ。一見、海の多いアクアノーヴァでの擬態に役立ちそうだが、微妙に色が浮いていてすぐに見つかってしまう。,倉田 窓,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_P-RR_BT2-004_card_dummy.jpg,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_P-RR_BT2-004_card_dummy.jpg,,2025-08-18T00:28:52.795Z,2025-08-18T00:43:23.386Z
c0d26cc4-f044-4cab-ba72-6baa8d9d8f3a,BT2-4,ブルー,ユニット,RR,魂魄の冥導士,青,青2,4,ルナ/CNP,5000,0,1,【登場時】ターン終了まで、相手のユニット1体をコスト-1。,青い姿に変化したルナ。一見、海の多いアクアノーヴァでの擬態に役立ちそうだが、微妙に色が浮いていてすぐに見つかってしまう。,コメスケ / Urukun,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_RR_BT2-004_card_dummy.jpg,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_RR_BT2-004_card_dummy.jpg,,2025-08-18T00:28:52.795Z,2025-08-18T00:43:23.386Z
a64fe1e2-c0ce-48bf-b688-ef3e0b7d19ed,BT2-5,ルナ,ユニット,C,魂魄の冥導士,青,青1,4,ルナ/CNP,5000,1000,1,,無尽蔵に式神を操るミカヅキ。その異常なレイキの源が神器であると確信したルナとリーリーは、密かに取り返す計画を立てている。,コメスケ / Urukun,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_C_BT2-005_card_dummy.jpg,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_C_BT2-005_card_dummy.jpg,,2025-08-18T00:28:52.795Z,2025-08-18T00:43:23.386Z
887f30a2-c63c-4533-a238-2f844d04792b,BT2-6,式神・シャチ,ユニット,C,魂魄の冥導士,青,ー,5,セイドウ/式神,6000,0,1,,シャチを模した形代で召喚した式神。水中での機動力に特化しており、一度狙いを付けられたものは決して逃れられない。,コメスケ / SHU-,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_C_BT2-006_card_dummy.jpg,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_C_BT2-006_card_dummy.jpg,,2025-08-18T00:28:52.795Z,2025-08-18T00:43:23.386Z
8f414f2a-328b-40bf-9955-2ce1c4408ec7,BT2-7,荒れ狂うミカヅキ,ユニット,P-RR,魂魄の冥導士,青,青1,6,セイドウ/ミカヅキ,7000,0,1,【自分のターン】自分の手札が3枚以下の間、このユニットをBP+2000。,リーリーとルナの参戦により劣勢を強いられたミカヅキは神器の力を解放し、荒々しくその力を振るう。,水視ずみ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_P-RR_BT2-007_card_dummy.jpg,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_P-RR_BT2-007_card_dummy.jpg,,2025-08-18T00:28:52.795Z,2025-08-18T00:43:23.386Z
a5b408b5-4e65-4fda-b801-f6e8fb6a319d,BT2-7,荒れ狂うミカヅキ,ユニット,RR,魂魄の冥導士,青,青1,6,セイドウ/ミカヅキ,7000,0,1,【自分のターン】自分の手札が3枚以下の間、このユニットをBP+2000。,リーリーとルナの参戦により劣勢を強いられたミカヅキは神器の力を解放し、荒々しくその力を振るう。,コメスケ / SHU-,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_RR_BT2-007_card_dummy.jpg,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/cnp_RR_BT2-007_card_dummy.jpg,,2025-08-18T00:28:52.795Z,2025-08-18T00:43:23.386Z
